Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
10/3/2012 0:00,9,4
10/3/2012 1:00,6,4
10/3/2012 2:00,1,1
10/3/2012 3:00,3,2
10/3/2012 4:00,1,6
10/3/2012 5:00,10,21
10/3/2012 6:00,50,105
10/3/2012 7:00,95,257
10/3/2012 8:00,146,291
10/3/2012 9:00,104,172
10/3/2012 10:00,46,72
10/3/2012 11:00,32,10
10/3/2012 12:00,41,35
10/3/2012 13:00,48,42
10/3/2012 14:00,51,77
10/3/2012 15:00,92,72
10/3/2012 16:00,182,133
10/3/2012 17:00,391,192
10/3/2012 18:00,258,122
10/3/2012 19:00,69,59
10/3/2012 20:00,51,29
10/3/2012 21:00,38,25
10/3/2012 22:00,25,24
10/3/2012 23:00,12,5
10/4/2012 0:00,11,7
10/4/2012 1:00,0,3
10/4/2012 2:00,6,3
10/4/2012 3:00,3,0
10/4/2012 4:00,1,7
10/4/2012 5:00,11,15
10/4/2012 6:00,51,91
10/4/2012 7:00,89,230
10/4/2012 8:00,134,284
10/4/2012 9:00,94,147
10/4/2012 10:00,53,67
10/4/2012 11:00,55,53
10/4/2012 12:00,50,54
10/4/2012 13:00,71,55
10/4/2012 14:00,56,63
10/4/2012 15:00,74,73
10/4/2012 16:00,161,114
10/4/2012 17:00,353,154
10/4/2012 18:00,241,137
10/4/2012 19:00,107,57
10/4/2012 20:00,56,27
10/4/2012 21:00,39,31
10/4/2012 22:00,21,25
10/4/2012 23:00,30,11
10/5/2012 0:00,7,4
10/5/2012 1:00,4,4
10/5/2012 2:00,3,4
10/5/2012 3:00,2,2
10/5/2012 4:00,2,7
10/5/2012 5:00,7,18
10/5/2012 6:00,37,68
10/5/2012 7:00,101,218
10/5/2012 8:00,119,251
10/5/2012 9:00,81,131
10/5/2012 10:00,48,71
10/5/2012 11:00,61,43
10/5/2012 12:00,46,55
10/5/2012 13:00,50,62
10/5/2012 14:00,62,63
10/5/2012 15:00,84,80
10/5/2012 16:00,190,120
10/5/2012 17:00,290,144
10/5/2012 18:00,209,107
10/5/2012 19:00,73,42
10/5/2012 20:00,41,27
10/5/2012 21:00,31,11
10/5/2012 22:00,26,10
10/5/2012 23:00,16,16
10/6/2012 0:00,7,8
10/6/2012 1:00,5,10
10/6/2012 2:00,2,7
10/6/2012 3:00,2,1
10/6/2012 4:00,1,4
10/6/2012 5:00,2,3
10/6/2012 6:00,15,12
10/6/2012 7:00,16,17
10/6/2012 8:00,47,58
10/6/2012 9:00,55,59
10/6/2012 10:00,47,68
10/6/2012 11:00,48,76
10/6/2012 12:00,73,91
10/6/2012 13:00,82,95
10/6/2012 14:00,114,89
10/6/2012 15:00,96,115
10/6/2012 16:00,76,107
10/6/2012 17:00,73,107
10/6/2012 18:00,55,41
10/6/2012 19:00,38,40
10/6/2012 20:00,18,25
10/6/2012 21:00,15,18
10/6/2012 22:00,20,14
10/6/2012 23:00,19,15
10/7/2012 0:00,5,6
10/7/2012 1:00,5,12
10/7/2012 2:00,1,2
10/7/2012 3:00,2,4
10/7/2012 4:00,2,1
10/7/2012 5:00,3,6
10/7/2012 6:00,8,9
10/7/2012 7:00,12,14
10/7/2012 8:00,26,43
10/7/2012 9:00,36,67
10/7/2012 10:00,41,67
10/7/2012 11:00,71,94
10/7/2012 12:00,91,100
10/7/2012 13:00,99,129
10/7/2012 14:00,115,126
10/7/2012 15:00,109,122
10/7/2012 16:00,93,132
10/7/2012 17:00,73,118
10/7/2012 18:00,45,68
10/7/2012 19:00,23,26
10/7/2012 20:00,36,19
10/7/2012 21:00,35,12
10/7/2012 22:00,9,9
10/7/2012 23:00,11,5
10/8/2012 0:00,5,4
10/8/2012 1:00,2,2
10/8/2012 2:00,0,5
10/8/2012 3:00,4,1
10/8/2012 4:00,2,3
10/8/2012 5:00,7,16
10/8/2012 6:00,48,89
10/8/2012 7:00,94,233
10/8/2012 8:00,153,304
10/8/2012 9:00,104,174
10/8/2012 10:00,44,53
10/8/2012 11:00,44,55
10/8/2012 12:00,55,53
10/8/2012 13:00,44,52
10/8/2012 14:00,62,59
10/8/2012 15:00,75,92
10/8/2012 16:00,135,117
10/8/2012 17:00,390,214
10/8/2012 18:00,226,139
10/8/2012 19:00,95,73
10/8/2012 20:00,57,37
10/8/2012 21:00,35,28
10/8/2012 22:00,14,15
10/8/2012 23:00,13,11
10/9/2012 0:00,4,8
10/9/2012 1:00,2,1
10/9/2012 2:00,2,2
10/9/2012 3:00,3,5
10/9/2012 4:00,5,4
10/9/2012 5:00,9,22
10/9/2012 6:00,50,103
10/9/2012 7:00,110,258
10/9/2012 8:00,145,317
10/9/2012 9:00,112,163
10/9/2012 10:00,36,58
10/9/2012 11:00,45,29
10/9/2012 12:00,40,37
10/9/2012 13:00,37,46
10/9/2012 14:00,54,54
10/9/2012 15:00,72,62
10/9/2012 16:00,149,95
10/9/2012 17:00,400,197
10/9/2012 18:00,244,152
10/9/2012 19:00,105,58
10/9/2012 20:00,53,32
10/9/2012 21:00,34,30
10/9/2012 22:00,17,17
10/9/2012 23:00,14,9
10/10/2012 0:00,7,8
10/10/2012 1:00,2,1
10/10/2012 2:00,0,3
10/10/2012 3:00,3,1
10/10/2012 4:00,2,3
10/10/2012 5:00,9,16
10/10/2012 6:00,40,109
10/10/2012 7:00,95,245
10/10/2012 8:00,133,302
10/10/2012 9:00,99,156
10/10/2012 10:00,44,53
10/10/2012 11:00,21,34
10/10/2012 12:00,40,47
10/10/2012 13:00,48,46
10/10/2012 14:00,39,54
10/10/2012 15:00,65,65
10/10/2012 16:00,128,102
10/10/2012 17:00,377,155
10/10/2012 18:00,215,116
10/10/2012 19:00,94,51
10/10/2012 20:00,56,30
